Protein_Name	GH_family	Enzyme	Cluster_annotation	Cluster_description	Cluster_ID	Validation_status	Reference	EggNOG_Best_Hit	EggNOG_bestHit_pident	Bifidobacteria_species	GH_family-F1_threshold	GH-cluster threshold	HMG-utilization
SAMD00047618_1995_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	98.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944713_1008_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	98.4	Bifidobacterium longum	88.200	89.47	Yes
SAMN15532650_693_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN07511392_262_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	326426.Bbr_1587	99.5	Bifidobacterium breve	88.200	89.47	Yes
SAMN06368636_1806_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.7	Bifidobacterium longum	88.200	89.47	Yes
SAMN02951890_206_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	326426.Bbr_1587	99.9	Bifidobacterium breve	88.200	89.47	Yes
SAMN15533225_1341_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	97.3	Bifidobacterium longum	88.200	89.47	Yes
SAMN11945041_989_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944664_1134_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	99.3	Bifidobacterium longum	88.200	89.47	Yes
SAMN18520777_1707_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	98.1	Bifidobacterium longum	88.200	89.47	Yes
SAMN04129533_992_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN19732222_1302_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	96.0	Bifidobacterium longum	88.200	89.47	Yes
SAMN18035029_498_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN09734826_1202_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944907_1088_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN00829148_1660_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	96.0	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944774_1538_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN06368577_1594_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	98.4	Bifidobacterium longum	88.200	89.47	Yes
SAMN11945005_646_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN07189842_1140_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	326426.Bbr_1587	99.6	Bifidobacterium breve	88.200	89.47	Yes
SAMN09734881_809_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.7	Bifidobacterium longum	88.200	89.47	Yes
SAMN06368632_1866_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944673_1334_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	99.3	Bifidobacterium longum	88.200	89.47	Yes
SAMN18090926_118_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN18436803_1235_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	98.4	Bifidobacterium longum	88.200	89.47	Yes
SAMN17800822_2017_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	100.0	Bifidobacterium longum	88.200	89.47	Yes
SAMD00248948_1662_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	96.0	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944873_1001_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	96.0	Bifidobacterium longum	88.200	89.47	Yes
SAMN15532819_1513_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	98.4	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944988_307_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN19732112_160_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	326426.Bbr_1587	99.7	Bifidobacterium breve	88.200	89.47	Yes
SAMN09736897_666_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944955_1423_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN10863261_654_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN10484345_1627_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	326426.Bbr_1587	99.9	Bifidobacterium breve	88.200	89.47	Yes
SAMN11944705_1905_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	98.3	Bifidobacterium longum	88.200	89.47	Yes
SAMN03842221_1391_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	326426.Bbr_1587	99.6	Bifidobacterium breve	88.200	89.47	Yes
SAMN11944914_1068_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	95.9	Bifidobacterium longum	88.200	89.47	Yes
SAMN12904949_1118_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	99.5	Bifidobacterium longum	88.200	89.47	Yes
SAMN11944710_1318_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	98.4	Bifidobacterium longum	88.200	89.47	Yes
SAMN15532543_957_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	702459.BBPR_1055	99.1	Bifidobacterium bifidum	88.200	89.47	Yes
SAMN09734857_1060_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	702459.BBPR_1055	99.2	Bifidobacterium bifidum	88.200	89.47	Yes
SAMN07958352_1685_GH112	GH112	β-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase	GH112 - GNB/LNB I phosphorylase	"β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase"	SAMN09736479_1612_GH112	Experiment	PMID: 33748718 PMID: 39315793 PMID: 19854932	216816.GS08_08740	99.3	Bifidobacterium longum	88.200	89.47	Yes
